Rank,Word,Pronunciation,PoS,Definition
774,abdominal,/?b?d?m.?.nl/,adj,???????concerned with the abdomen or stomach
458,absorb,/?bz?rb/,verb,???????to take in water
435,absorption,/?b?s?rp.??n/,noun,"???????a process of taking a liquid, gas or substance into another substance"
502,accelerate,/?k?s?l.??re?t/,verb,???????to increase the speed or rate of something
470,acceleration,/?k.?s?l.?.??e?.??n/,noun,???????an increase in rate of change
484,accent,/?ks?nt/,noun,???????a way of saying words that shows your dialect or class
427,accumulate,/?kyumy?l?e?t/,verb,???????to gather or acquire something so that you have more of it
389,accumulation,/??kju.mj??le?.??n/,noun,???????the gathering of something over a period of time
136,accuracy,/?ky??si/,noun,???????correctness or precision
506,accurately,/??k.j?r.?t.li/,adv,???????correctly; exactly and without any mistakes
21,acid,/??s.?d/,noun,"???????a substance that tastes sour, reacts with metals and carbonates, and turns blue litmus red. e.g. lemon juice"
855,acidic,/??s?d.?k/,adj,???????containing acid
124,activate,/?kt?v?e?t/,verb,???????to make something to start working
580,actively,/?kt?vli/,adv,???????engaged in an activity in order to achieve a specific goal
200,acute,/??kjut/,adj,"???????very serious or severe; in maths, an angle < 90 degrees"
138,adaptation,/??d.?p?te?.??n/,noun,???????the process of changing
349,adaptive,/??d?p.t?v/,adj,???????able to adjust and meet the needs of new conditions
329,adjacent,/?d?e?s?nt/,adj,"???????being close or near to a border, wall, or point"
488,admission,/?d?m??.?n/,noun,???????the act of taking responsibility for an error or mistake
125,adolescent,/??d.l??s.?nt/,noun,???????12-18 years old
448,adverse,/?d.v?s/,adj,???????negative or harmful
933,aerosol,/???.??s?l/,noun,???????a container that has liquid under pressure and releases the liquid in a spray
353,aesthetic,/?s?¦È?t.?k/,adj,???????concerning the sense of artistic beauty
754,affirm,/??f?rm/,verb,???????to strengthen or support a belief that is already held
756,afterward,/?ft?w?d/,adv,???????happening after something else happened
205,aggregate,/??g.r?.g?t/,noun,???????total amount
355,agriculture,/??.¨À???k?l.t??/,noun,???????the science of farming
893,airplane,/???r?ple?n/,noun,???????a machine that flies through the air
284,algebra,/??l.d??.br?/,noun,???????a type of mathematics that uses letters and symbols in place of numbers
32,algorithm,/??l.g??r?e.?m/,noun,???????a logical rule or procedure that guarantees solving a problem
713,alien,/?e?.li.?n/,noun,???????a person or creature from a planet other than Earth
518,alliance,/??la?.?ns/,noun,???????being joined or associated
557,allocate,/?l?k?e?t/,verb,???????to distribute according to a plan
